year,code,sex,population,deployment,tagID,divenum,maxdep,durwho,bzsounds,kindet,sc,NLmax
2011,2011_35,M,NRKW,oo11_245a,245,458,3.366970798,35,0,0,0,93.74704116
2011,2011_35,M,NRKW,oo11_245a,245,459,10.46982489,103.4,0,0,0,94.24196528
2011,2011_35,M,NRKW,oo11_245a,245,462,3.583603414,35,0,0,0,93.83167749
2011,2011_35,M,NRKW,oo11_245a,245,463,4.376702455,55.8,0,0,0,93.74026555
2011,2011_35,M,NRKW,oo11_245a,245,464,3.429053241,30.2,0,0,0,93.68996644
2011,2011_35,M,NRKW,oo11_245a,245,465,3.141221211,35.4,0,0,0,93.76059637
2011,2011_35,M,NRKW,oo11_245a,245,466,12.07464145,147.8,0,0,0,93.90319491
2011,2011_35,M,NRKW,oo11_245a,245,468,4.377031208,37.6,0,0,0,94.46775739
2011,2011_35,M,NRKW,oo11_245a,245,469,4.128336868,53,0,0,0,94.08193583
2011,2011_35,M,NRKW,oo11_245a,245,470,4.293136007,71.4,0,0,0,94.70595569
2011,2011_35,M,NRKW,oo11_245a,245,471,3.549365239,37.4,0,0,0,95.48622222
2011,2011_35,M,NRKW,oo11_245a,245,472,3.807674259,41.8,0,0,0,94.42160726
2011,2011_35,M,NRKW,oo11_245a,245,473,4.006638682,34.4,0,0,0,94.42516025
2011,2011_35,M,NRKW,oo11_245a,245,474,3.600424322,64.8,0,0,0,93.83469565
2011,2011_35,M,NRKW,oo11_245a,245,475,8.333543366,123.8,0,0,0,93.97336279
2011,2011_35,M,NRKW,oo11_245a,245,476,5.162910397,73.8,0,0,0,94.33369813
2011,2011_35,M,NRKW,oo11_245a,245,477,3.547708822,36.2,0,0,0,94.2202361
2011,2011_35,M,NRKW,oo11_245a,245,478,3.717152842,36.4,0,0,0,94.02575224
2011,2011_35,M,NRKW,oo11_245a,245,482,3.776205799,39.4,0,0,0,93.92606741
2011,2011_35,M,NRKW,oo11_245a,245,484,3.924130385,63.2,0,0,0,93.96591595
2011,2011_35,M,NRKW,oo11_245a,245,485,3.396487702,40.2,0,0,0,94.48380833
2011,2011_35,M,NRKW,oo11_245a,245,487,4.251421926,63.6,0,0,0,93.97062634
2011,2011_35,M,NRKW,oo11_245a,245,490,3.512945093,75.8,0,0,0,94.54274472
2011,2011_35,M,NRKW,oo11_245a,245,491,3.619760963,61.8,0,0,0,93.79047257
2011,2011_35,M,NRKW,oo11_245a,245,492,5.94551115,67,0,0,0,94.33987251
2011,2011_35,M,NRKW,oo11_245a,245,495,3.202495162,31.8,0,0,0,94.75285453
2011,2011_35,M,NRKW,oo11_245a,245,499,3.906486735,51.8,0,0,0,94.86088095
2011,2011_35,M,NRKW,oo11_245a,245,501,4.047485356,35.2,0,0,0,93.90977844
2011,2011_35,M,NRKW,oo11_245a,245,503,3.012901455,26.4,0,0,0,93.91818675
