population,deployment,tagID,sex,divenum,maxdep,durwho,kindet,bzsounds,sc,context
NRKW,oo09_240a,243,M,32,3.860741083,16.6,0,0,0,non_foraging
NRKW,oo09_240a,243,M,34,3.515289744,18.4,0,0,1,non_foraging
NRKW,oo09_240a,243,M,35,3.672311681,16.6,0,0,0,non_foraging
NRKW,oo09_240a,243,M,36,7.060132021,40.0,0,0,1,non_foraging
NRKW,oo09_240a,243,M,40,8.285922167,52.2,0,0,1,non_foraging
NRKW,oo09_240a,243,M,41,3.494983111,18.8,0,0,0,non_foraging
NRKW,oo09_240a,243,M,45,2.633650564,14.8,0,0,0,non_foraging
NRKW,oo09_240a,243,M,46,13.77765093,77.2,1,0,1,foraging
NRKW,oo09_240a,243,M,48,3.259850384,19.0,0,0,0,non_foraging
NRKW,oo09_240a,243,M,52,8.887570386,39.6,0,0,1,non_foraging
NRKW,oo09_240a,243,M,54,40.20871469,113.6,0,0,1,foraging
NRKW,oo09_240a,243,M,56,4.578507537,31.2,0,0,1,non_foraging
NRKW,oo09_240a,243,M,59,5.128231935,45.0,0,0,1,non_foraging
NRKW,oo09_240a,243,M,60,3.892503634,25.0,0,0,0,non_foraging
NRKW,oo09_240a,243,M,66,5.026984337,29.4,0,0,1,non_foraging
NRKW,oo09_240a,243,M,68,162.5444023,200.6,0,0,1,foraging
NRKW,oo09_240a,243,M,74,28.6176789,98.2,0,0,1,non_foraging
NRKW,oo09_240a,243,M,75,4.995885671,25.2,0,0,0,non_foraging
NRKW,oo09_240a,243,M,85,271.8879086,451.4,1,0,1,foraging
NRKW,oo09_240a,243,M,87,3.757590282,13.8,0,0,0,non_foraging
NRKW,oo09_240a,243,M,88,4.563574168,22.0,0,0,0,non_foraging
NRKW,oo09_240a,243,M,89,5.073870647,25.0,0,0,0,non_foraging
NRKW,oo09_240a,243,M,90,4.247283206,19.2,0,0,0,non_foraging
NRKW,oo09_240a,243,M,91,4.331304124,18.0,0,0,1,non_foraging
NRKW,oo09_240a,243,M,93,4.36069209,19.8,0,0,0,non_foraging
NRKW,oo09_240a,243,M,94,4.048115269,16.8,0,0,0,non_foraging
NRKW,oo09_240a,243,M,95,5.007758242,24.8,0,0,1,non_foraging
NRKW,oo09_240a,243,M,96,4.185638125,18.0,0,0,0,non_foraging
NRKW,oo09_240a,243,M,98,3.881278135,17.8,0,0,1,non_foraging
NRKW,oo09_240a,243,M,104,16.20448466,39.8,0,0,1,non_foraging
NRKW,oo09_240a,243,M,106,26.11503029,65.2,0,0,1,non_foraging
NRKW,oo09_240a,243,M,115,18.47051021,61.6,0,0,1,non_foraging
NRKW,oo09_240a,243,M,118,3.814417153,19.0,0,0,0,non_foraging
NRKW,oo09_240a,243,M,120,50.55746571,80.8,0,0,1,foraging
NRKW,oo09_240a,243,M,122,20.22303205,36.6,0,0,1,non_foraging
NRKW,oo09_240a,243,M,129,9.749079191,29.8,0,0,1,non_foraging
NRKW,oo09_240a,243,M,133,165.8868419,162.0,0,0,1,foraging
NRKW,oo09_240a,243,M,134,4.229773092,19.8,0,0,1,non_foraging
NRKW,oo09_240a,243,M,135,14.78604311,43.2,0,0,1,non_foraging
NRKW,oo09_240a,243,M,139,5.194227587,25.0,0,0,1,non_foraging
NRKW,oo09_240a,243,M,143,85.61863539,170.2,1,0,0,foraging
NRKW,oo09_240a,243,M,144,2.884798202,14.2,0,0,0,non_foraging
NRKW,oo09_240a,243,M,145,4.027120184,28.6,0,0,0,non_foraging
NRKW,oo09_240a,243,M,147,4.643613457,23.0,0,0,0,non_foraging
NRKW,oo09_240a,243,M,148,3.941188157,26.6,0,0,0,non_foraging
NRKW,oo09_240a,243,M,149,3.033760619,16.6,0,0,0,non_foraging
NRKW,oo09_240a,243,M,151,3.744073363,19.4,0,0,0,non_foraging
NRKW,oo09_240a,243,M,152,4.198999331,22.0,0,0,0,non_foraging
NRKW,oo09_240a,243,M,153,4.121028754,19.4,0,0,0,non_foraging
NRKW,oo09_240a,243,M,154,4.922876975,37.2,0,0,1,non_foraging
NRKW,oo09_240a,243,M,156,6.304915258,26.8,0,0,1,non_foraging
